CD_SITE;PRECISION;TYPE;EFF_MAX_CHIRO;STATUT;mean.petit_rhino;mean.grand_rhino;mean_grand_murin;mean_daubenton;mean_bechstein;mean_natterer;mean_echancrees;mean_complexe_murins
21013.001;Précis;6211;1701;Site normal;21,36842105;155,4736842;396,3684211;22,5;0,315789474;0,368421053;145;3,263157895
21017.001;Précis;611;7;Site normal;3,076923077;0,230769231;0;0;0;0;0;0
21044.003;Précis;611;6;Site normal;4;0;0;0;0;0;0;0
21045.003;Précis;611;231;Site normal;36;6,727272727;12,09090909;0,636363636;0;0;54,81818182;2,545454545
21051.002;Précis;611;16;Site normal;3,5;6;4;2;0;0;0;0
21061.005;Précis;611;77;Site normal;10,75;17,5;0;0;0;0;0;0
21071.002;Précis;611;59;Site normal;4,666666667;0,666666667;0,666666667;0,666666667;0;0;0;0
21122.001;Précis;611;22;Site normal;9;1,333333333;0,666666667;0;0;0;0,333333333;1,666666667
21210.005;Précis;611;4;Site_rattache;2;0;0;0;0;0;0;0
21220.008;Précis;6212;155;Site_rattache;48,07692308;3;0,538461538;0,692307692;0,076923077;0,769230769;0,083333333;0,076923077
21226.002;Précis;611;862;Site_rattache;1,5;60,75;4,625;1;0;0,375;2,125;93,625
21226.004;Approximatif;611;131;Site_rattache;0,888888889;0,222222222;5,666666667;5,111111111;0;1,222222222;1,111111111;42,22222222
21339.001;Précis;3;2;Site normal;1;0;0;0;0;0;0;0
21361.001;Précis;611;186;Site normal;21,66666667;2;10;0,666666667;0;0;0;0
21373.001;Précis;6211;488;Site normal;4,263157895;222,5789474;1,947368421;1,473684211;0;0,263157895;1;0,368421053
21412.001;Précis;6211;562;Site normal;16,61111111;2,611111111;2,888888889;0,166666667;0;0,944444444;0,5;0
21445.003;Approximatif;322;114;Site normal;92,5;0;0;0,5;0;0;0;0,5
21462.001;Précis;6211;113;Site normal;1,722222222;1,055555556;8,5;7,5;2,722222222;5,222222222;14,66666667;15,55555556
21464.002;Précis;611;21;Site_rattache;0,818181818;0,090909091;0,363636364;0,181818182;0;0;0;0
21464.003;Précis;611;9;Site_rattache;3,153846154;1;0,461538462;0,076923077;0;0,153846154;0;0
21478.001;Précis;612;741;Site normal;7,5;0,5;2,5;0,5;0,5;0;0;253,5
